instruction,input,output
Analyse the input and categorize into respective category,Patient John Smith needs to be directed to orthopedic specialist Dr. Williams for knee evaluation. Please coordinate appointment scheduling and ensure proper documentation transfer.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Progress report for patient case #4521: Current symptoms include moderate pain levels, improved mobility since last visit. Treatment plan adjusted based on recent assessments.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Invoice #INV-2024-001 for physical therapy sessions totaling $450.00. Payment due within 30 days. Services rendered between Jan 1-15, 2024.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Prior approval required for MRI scan scheduled for next week. Please provide necessary documentation and clinical justification for imaging procedure.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Directing patient Mary Johnson to cardiology department for specialized consultation. Transfer includes complete medical history and current medications list.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Patient assessment summary: Blood pressure 120/80, heart rate 72 bpm, temperature 98.6°F. Diagnosis updated based on laboratory results received today.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Statement of charges for outpatient services rendered on 03/15/2024. Total amount due: $1,200.00. Insurance coverage applied, patient responsibility: $300.00.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Request for pre-approval submitted for surgical procedure scheduled next month. All supporting documentation attached for review and processing.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Forwarding patient to neurology clinic for headache evaluation. Include recent CT scan results and current medication regimen in transfer documents.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clinical notes from today's examination: Patient reports decreased pain, increased range of motion. Recommended continuation of current therapy protocol.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Billing summary for insurance claim #CLM-789456. Services provided: diagnostic imaging, consultation fees. Total submitted: $875.00 for reimbursement.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Seeking approval for extended therapy sessions beyond standard coverage limit. Medical necessity documentation provided to support continued treatment.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Connect patient with pulmonology specialist for breathing difficulty assessment. Coordinate transfer of chest X-ray images and spirometry test results.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Patient visit summary: Vital signs stable, wound healing progressing normally. Next appointment scheduled for follow-up evaluation in two weeks.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Explanation of benefits for claim processed on 02/28/2024. Covered amount: $600.00, deductible applied: $150.00, patient owes: $75.00.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Preauthorization request for specialized equipment rental. Medical justification letter from attending physician included with application materials.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Route patient to gastroenterology for digestive issues evaluation. Include dietary history, symptom timeline, and recent blood work results.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Treatment documentation: Patient responded well to medication adjustment. Side effects minimal, compliance good. Plan to continue current dosage.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare charges for emergency department visit on 04/10/2024. Itemized breakdown: facility fee $300, physician fee $200, tests $150.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval needed for home health services starting next week. Care plan developed, qualified provider identified, awaiting coverage determination.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Send patient to endocrinology for diabetes management consultation. Transfer glucose monitoring logs, HbA1c results, and current insulin regimen details.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Medical record update: Patient's condition improving steadily. Rehabilitation goals being met ahead of schedule. Consider discharge planning soon.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Monthly statement for ongoing treatment services. Previous balance: $200.00, new charges: $400.00, payments received: $150.00, current balance: $450.00.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Prior consent required for experimental treatment protocol. Research study enrollment documents and informed consent forms prepared for review.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Direct patient to oncology department for cancer screening follow-up. Include biopsy results, imaging reports, and family history information.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Discharge summary: Patient successfully completed treatment program. Final assessment shows significant improvement in all measured parameters.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Insurance reimbursement notice for services rendered last month. Processed amount: $1,500.00, adjustment: $200.00, net payment: $1,300.00.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clearance request for elective surgery scheduled for next quarter. Pre-operative assessment complete, all requirements met for approval.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Transfer patient to psychiatry for mental health evaluation. Include psychological assessment scores, medication history, and behavioral observations.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Patient care notes: Responded positively to new treatment approach. Pain levels decreased significantly, mobility improved substantially over past week.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Cost breakdown for recent hospitalization: room charges $2,000, medical supplies $500, pharmacy $300, total patient responsibility after insurance: $800.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Authorization requested for second opinion consultation with out-of-network specialist. Clinical complexity justifies additional expert evaluation.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Channel patient to rheumatology for joint pain assessment. Forward laboratory results, inflammation markers, and current symptom documentation.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Therapy progress notes: Patient demonstrates increased strength and endurance. Functional goals being achieved within expected timeframe.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Account statement for services provided during Q1 2024. Total charges: $2,500.00, insurance payments: $1,800.00, patient balance: $700.00.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Pre-approval needed for diagnostic testing battery. Clinical presentation warrants comprehensive evaluation with multiple imaging modalities.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Coordinate patient transfer to dermatology for skin lesion evaluation. Include photographs, growth timeline, and family history of skin conditions.",DOCUMENT_UPLOAD
